brand,product_count,avg_price
K-S-Trade,90,16.8
Abakuhaus,83,24.08
CALVENDO,55,27.17
Reyher,50,399.82
DeinDesign,49,23.28
SONSTIGE,35,195.16
atFoliX,23,9.07
Posterlounge,20,10.5
vhbw,19,28.76
vidaXL,18,114.69
PHS-memory,15,59.22
Next,15,27.4
upscreen,15,26.72
BROTECT,14,9.23
relaxdays,13,45.99
Ulla Popken,12,61.32
Wallario,12,36.78
Mr. & Mrs. Panda,12,17.4
etc-shop,11,164.55
HTI-Living,10,204.68
PUMA,10,53.57
Home affaire,9,416.21
Lomadox,9,347.86
ebuy24,9,267.53
s.Oliver,9,50.83
mantraroma,9,39.68
Cadorabo,9,18.32
Wigento,9,12.91
Savvies,9,3.75
VDP,8,368.7
adidas Performance,8,49.04
queence,8,47.85
morgenland,7,6605.84
en.casa,7,819.79
Adelia´s,7,555.04
Basera®,7,93.19
Artgeist,7,74.06
click-licht,7,73.79
Primedeco,7,53.54
PROMAT,7,35.08
DesFoli,7,26.99
Shirtracer,7,22.9
Bruni,7,6.28
JVmoebel,6,3504.17
KUNSTLOFT,6,132.12
Komar,6,114.38
Lotus,6,102.02
Guess,6,95.97
Guru-Shop,6,90.57
Cipo & Baxx,6,58.99
Artland,6,55.82
Esprit,6,43.64
New Era,6,36.42
AGI,6,35.33
Feldherr,6,33.56
Pixxprint,6,26.62
matches21 HOME & HOBBY,6,17.16
Nike,5,52.29
KS Tools,5,51.02
Gina Laura,5,45.19
LOGOSHIRT,5,27.41
Roxy,5,26.95
VOID,5,25.1
König Design,5,15.59
MOTIVISSO,5,13.9
eVendix,5,13.63
Kiebel,4,1586.5
expendio,4,1091.5
Junado®,4,841.5
OSTSEE-SCHMUCK,4,111.47
TOM TAILOR,4,91.47
BUTLERS,4,65.74
Taifun,4,63.99
HOMCOM,4,63.9
Skechers,4,52.83
Mona,4,48.74
AccuCell,4,44.65
SCHÖNER LEBEN.,4,43.7
MIAMODA,4,39.37
edc by Esprit,4,37.97
Soreso®,4,32.42
Papermoon,4,28.31
SEBSON,4,25.99
BCM,4,19.49
ROLINE,4,19.32
Erwin Müller,4,18.45
dekodino,4,17.95
kwmobile,4,16.99
style3,4,16.9
Horror-Shop,4,16.44
SO-TECH®,4,4.89
Feldmann-Wohnen,3,1065.33
Bogner,3,583.0
Massivmoebel24,3,489.9
Optoma,3,440.43
Stella Maris,3,259.0
PowerSmart,3,206.69
THE BRIDGE,3,185.9
Villeroy & Boch,3,128.93
JOBO,3,123.73
Mucola,3,111.23
Replay,3,102.93
SLV,3,97.57
camel active,3,94.6
Brilliant Leuchten,3,82.88
Alba Moda,3,78.97
Bullboxer,3,74.65
banjado,3,73.99
GOLDNER,3,68.23
VALENTINO BAGS,3,66.63
Jack Wolfskin,3,58.99
GUIDO MARIA KRETSCHMER,3,58.23
Photocircle,3,57.15
GERRY WEBER,3,55.51
GARDENA,3,45.02
