retailer,product_count,brand_count,avg_price,sold_out_products,sold_out_rate
OTTO,426,280,337.51,107,25.12
L�chel Industriebedarf,108,15,256.01,12,11.11
K. S. company GmbH,90,1,16.8,6,6.67
Color-D Textile GmbH,83,1,24.08,2,2.41
Home & Play,55,1,27.17,0,0
DeinDesign,49,1,23.28,0,0
schutzfolien24,38,3,14.84,0,0
mirapodo #ft5_slash# myToys,34,30,43.14,1,2.94
atFoliX,30,2,8.42,0,0
WE LOVE BAGS,28,25,123.37,23,82.14
Mary & Paul,24,21,73.97,14,58.33
vidaXL,22,5,99.8,12,54.55
Posterlounge,20,1,10.5,2,10
Electropapa,19,1,28.76,7,36.84
Popken Fashion Group,18,3,60.1,11,61.11
neuetischkultur,17,6,128.46,9,52.94
wc-gestalten,15,3,129.25,0,0
PHS-electronic gmbh,15,1,59.22,1,6.67
Next Germany GmbH,15,1,27.4,4,26.67
heyconnect,14,13,97.1,5,35.71
Fit4Style Silberschmuck - IMPPAC,14,8,92.95,8,57.14
ETC-Shop,13,3,142.96,1,7.69
Relaxdays,13,1,45.99,6,46.15
Mr. & Mrs. Panda,12,1,17.4,0,0
Wallario,12,1,36.78,0,0
WrapUp GmbH,10,10,34.54,3,30
Esprit,10,5,39.89,6,60
click-licht,10,2,80.93,1,10
Frankonia,9,7,151.1,1,11.11
Horror-Shop,9,4,22.12,4,44.44
style3,9,2,21.46,0,0
Cadorabo-Shop,9,1,18.32,0,0
Moebelnet,9,1,267.53,4,44.44
Wigento,9,1,12.91,0,0
Lomadox,9,1,347.86,1,11.11
mantraroma,9,1,39.68,1,11.11
CHRIST Juweliere und Uhrmacher seit 1863,8,8,323.79,3,37.5
vonderpalette,8,1,368.7,0,0
Olano GmbH,7,7,134.42,5,71.43
Bettklusiv GmbH,7,7,50.36,3,42.86
EMAKO,7,5,25.7,2,28.57
ICED OUT,7,4,43.19,0,0
MOTIVISSO,7,2,15.61,0,0
s.Oliver,7,2,51.79,2,28.57
Primedeco,7,1,53.54,0,0
DesFoli,7,1,26.99,0,0
Shirtracer,7,1,22.9,0,0
premiumXL,7,1,819.79,0,0
KW-Commerce,6,2,16.82,3,50
JV Möbel,6,1,3504.17,0,0
Pixxprint,6,1,26.62,0,0
AGI Shop,6,1,35.33,1,16.67
Guru-Shop,6,1,90.57,1,16.67
Feldherr GmbH,6,1,33.56,0,0
matches21 HOME & HOBBY,6,1,17.16,0,0
KUNSTLOFT,6,1,132.12,1,16.67
Outlet46,5,5,34.39,1,20
GoJungo GmbH,5,5,53.56,3,60
Internetstores,5,5,104.19,2,40
Rosenthal GmbH,5,4,58,0,0
KTK Handel,5,4,22.63,5,100
Fotoalben-Discount,5,3,10.96,0,0
PRIARA,5,2,54.21,0,0
Erwin Müller,5,2,16.86,3,60
SECOMP Electronic Components GmbH,5,2,17.81,0,0
Aosom DE,5,2,81.1,3,60
E-Gerry Weber Digital GmbH,5,2,59.19,4,80
eVendix,5,1,13.63,0,0
König Design,5,1,15.59,0,0
Price-Guard,4,4,188.15,3,75
Luxentu,4,4,38.21,2,50
Gomazing,4,4,35.74,0,0
METAMORPH,4,4,47.41,0,0
GUTE MARKEN,4,4,90.73,0,0
schuhe|kaufen,4,4,84.65,3,75
camXpert GmbH,4,4,39.99,2,50
bmf-versand,4,3,27.06,1,25
IM-Trading,4,3,22.21,0,0
Schuhe-Trentasette,4,3,57.41,0,0
Villeroy & Boch,4,2,101.18,2,50
Wall-Art,4,2,39.99,0,0
MobiloTec,4,2,42.85,0,0
Duckshop,4,2,11.49,1,25
Office Partner,4,2,360.7,1,25
Schöner Leben Shop,4,1,43.7,0,0
Junado,4,1,841.5,2,50
Soreso,4,1,32.42,0,0
dekodino®,4,1,17.95,0,0
SEBSON,4,1,25.99,1,25
OSTSEE-SCHMUCK,4,1,111.47,0,0
Kiebel,4,1,1586.5,2,50
BUTLERS,4,1,65.74,0,0
AkkuShop Deutschland,4,1,44.65,1,25
S&O Handelsgesellschaft mbH,4,1,4.89,0,0
expendio,4,1,1091.5,0,0
Juvalia,3,3,74.63,1,33.33
surf4shoes,3,3,135.95,1,33.33
Babyshoppen,3,3,160.62,0,0
engelhorn,3,3,79.93,1,33.33
Sandritas,3,3,42.3,0,0
Fashion and Sports,3,3,28.58,1,33.33
Sport Klingenmaier,3,3,53.28,0,0
natürlich24,3,3,72.94,1,33.33
Salamander,3,3,123.28,0,0
Skapetze Lichtmacher,3,3,294.67,0,0
Sports-Box,3,3,134.77,1,33.33
in-trading Handelsgesellschaft mbH,3,3,64.23,2,66.67
440s - for fourties,3,3,42.56,0,0
P4 Markets,3,3,40.25,2,66.67
OTTO Office,3,3,282.02,0,0
found4you,3,2,66.83,0,0
Living Stars,3,2,23.96,0,0
Tom Tailor E-Commerce GmbH,3,2,51.66,1,33.33
meinemarkenmode,3,2,42.32,0,0
sportboerse-shop,3,2,579.65,2,66.67
Traumpreisfabrik,3,2,25.32,0,0
BOSEWEK GmbH,3,2,22.87,1,33.33
moebel-direkt.de GmbH,3,2,307.67,0,0
Mustbuy GmbH,3,2,119.99,0,0
FALKE,3,2,20.67,0,0
VBS Hobby,3,2,9.12,1,33.33
bearse,3,1,35.19,0,0
Bilderdepot24,3,1,9.99,0,0
Photocircle,3,1,57.15,0,0
Kiss of Leather,3,1,15.99,1,33.33
banjado,3,1,73.99,0,0
Mucola,3,1,111.23,0,0
BEARSU,3,1,28.24,0,0
GOLDNER,3,1,68.23,0,0
Massivmoebel24,3,1,489.9,0,0
feldmann-wohnen,3,1,1065.33,0,0
G-S4LL,3,1,259,0,0
KraftKids,3,1,39.29,0,0
AkkuGigant,3,1,206.69,1,33.33
Akowi,3,1,15.57,0,0
CoolGadget,3,1,12.29,2,66.67
unbespielt,3,1,34.57,0,0
venize,2,2,19.99,0,0
Berlin Brands Group,2,2,164.99,0,0
Schuhkings,2,2,119.95,1,50
d-onlinehandel,2,2,24.74,0,0
Steinchenwelt,2,2,94.09,2,100
hobbyshop-mona,2,2,27.98,1,50
keepdrum,2,2,289.9,1,50
DaGecko,2,2,43.4,0,0
Livario,2,2,39.99,2,100
voelkner - direkt guenstiger,2,2,12.88,0,0
Hemden-Meister#ft5_slash#Mode Schödlbauer,2,2,83.95,0,0
onQuality,2,2,79.45,1,50
Foto Erhardt GmbH,2,2,334.5,0,0
Clic-Trade GmbH,2,2,237.49,1,50
Lieblingsleuchten,2,2,462.82,0,0
Mawoo,2,2,51,1,50
Trachtenland,2,2,23.42,0,0
Watchroom24,2,2,44.45,0,0
REITSPORT24,2,2,89.95,0,0
Sport Hopfmann GmbH,2,2,72.49,0,0
