category_level_2,total_products,sold_out_products,sold_out_rate
Kommunikation,1,1,1
Medien,1,1,1
Haushaltsger‰te,4,2,0.5
Groﬂe Grˆﬂen,13,6,0.46
Damen,259,88,0.34
Schuhe,73,22,0.3
Herren,110,30,0.27
Sport,67,18,0.27
Kinder,62,16,0.26
Bekleidung,36,9,0.25
Haushalt,124,29,0.23
Unterhaltungselektronik,22,5,0.23
Haushaltswaren,10,2,0.2
Optik,5,1,0.2
Spielzeug,105,18,0.17
W√§sche/Bademode,35,6,0.17
M√∂bel,411,66,0.16
Baumarkt,213,32,0.15
Inspiration,14,2,0.14
Sanit√§r,7,1,0.14
Multimedia,303,35,0.12
Heimtextilien,171,21,0.12
Accessoires,12,1,0.08
Pflegemittel,85,3,0.04
Ausr√ºstung,6,0,0
W√§sche,5,0,0
K√ºche,3,0,0
Bademode,1,0,0
Gartengestaltung,1,0,0
Bauelemente,1,0,0
Make-Up,1,0,0
