retailer,brand,product_count,brand_rank
123moebel,White Label Living,1,1
1A PHOTO PORST,1A PHOTO PORST,1,1
1a-Handelsagentur,euro3plast,1,1
2JB,ZERO G,2,1
3DEAL,Kickers,1,1
440s - for fourties,AM Design,1,1
440s - for fourties,440s,1,1
440s - for fourties,Mars & More,1,1
4big.fun,Cheffinger,1,1
58 auf'm Kessel,58 aufm Kessel,1,1
AGI Shop,AGI,6,1
AMB Products,PeakTech,1,1
ANIK-Shop,EDCO,1,1
APRICOT,Apricot,1,1
AkkuGigant,PowerSmart,3,1
AkkuShop Deutschland,AccuCell,4,1
Akowi,MoonWorks,3,1
Albatros International,Albatros International,1,1
Almbock,Almbock,1,1
Alpenclassics,Hangowear,1,1
Alpenclassics,Gipfelstürmer,1,1
Alsino,Vitrine24.de,1,1
Ambiente und Object online GmbH,pieperconcept,1,1
AmbrosyaDE,Cerbery,1,1
Andalous Dessous,Obsessive,1,1
Aosom DE,HOMCOM,4,1
Aosom DE,PawHut,1,2
Aquagart,Aquagart,1,1
Aquaristikwelt24,Aquaone,1,1
Asia Wohnstudio GmbH,Vitabo,1,1
AvaMia,AvaMia,1,1
Ayazo,Mil-Tec,1,1
Ayazo,Mavi,1,1
B.K.Licht,B.K.Licht,1,1
BEARSU,BEARSU,3,1
BETTENRID GmbH,Rid Essentials,1,1
BF-Commerce GmbH,Nalia,2,1
BOSEWEK GmbH,IVSO,2,1
BOSEWEK GmbH,IBETTER,1,2
BRUBAKER (Der Schnellversender),BRUBAKER,1,1
BUTLERS,BUTLERS,4,1
Babyshoppen,Lorelli,1,1
Babyshoppen,Chipolino,1,1
Babyshoppen,Cangaroo,1,1
Badeinrichtung-online-kaufen.de,EWBH,1,1
Badorado Warenhandels GmbH & Co. KG,aquaSu,1,1
Badorado Warenhandels GmbH & Co. KG,Sitzplatz,1,1
BaiBa Fashion Trading GmbH,Alles,1,1
Bekleidungshäuser Karl Vockeroth GmbH,bianca,1,1
Bella Carina,Bella Carina,1,1
Bergson,Bergson,2,1
Berlin Brands Group,brunolie,1,1
Berlin Brands Group,blumfeldt,1,1
Bettklusiv GmbH,Beddinghouse,1,1
Bettklusiv GmbH,PiP Studio,1,1
Bettklusiv GmbH,Irisette,1,1
Bettklusiv GmbH,Baby’s Only,1,1
Bettklusiv GmbH,soma,1,1
Bettklusiv GmbH,Knit Factory,1,1
Bettklusiv GmbH,GILDE,1,1
Bilderdepot24,Bilderdepot24,3,1
Blackskies,Blackskies,1,1
Bluespoon,SÄNGER,1,1
Bodycheck,Stitch & Soul,1,1
Bodynova GmbH,bodhi,1,1
Borento,Borento,2,1
Bravios Deutschland,Bravios,1,1
Brillibrum GmbH,Brillibrum,1,1
Bungsa,BUNGSA,2,1
CARO-Möbel,IDIMEX,1,1
CARSTYLER®,CARSTYLER®,1,1
CHOICENESS,CowParade,1,1
CHRIST Juweliere und Uhrmacher seit 1863,Guess,1,1
CHRIST Juweliere und Uhrmacher seit 1863,24Kae,1,1
CHRIST Juweliere und Uhrmacher seit 1863,KERBHOLZ,1,1
CHRIST Juweliere und Uhrmacher seit 1863,CHRIST,1,1
CHRIST Juweliere und Uhrmacher seit 1863,FAVS,1,1
CHRIST Juweliere und Uhrmacher seit 1863,GUIDO MARIA KRETSCHMER,1,1
CHRIST Juweliere und Uhrmacher seit 1863,THOMAS SABO,1,1
CHRIST Juweliere und Uhrmacher seit 1863,Swarovski,1,1
CHiLA GmbH,CHiLA,1,1
CONCEPT Mode,Cecil,1,1
CT Cool Time,Liebeskind Berlin,1,1
Cadorabo-Shop,Cadorabo,9,1
Casa Due pur,IITTALA,1,1
Casa Due pur,Chilewich,1,1
Casa Moro,Casa Moro,1,1
Catch the Patch,Mono-Quick,1,1
Catch the Patch,Catch the Patch,1,1
Christmas Shop,INGE-GLAS®,1,1
Clic-Trade GmbH,SVITA,1,1
Clic-Trade GmbH,TAINO,1,1
Close Up,PYRAMID,1,1
Coffee Friend,Timemore,1,1
Colognebelt,COLOGNEBELT,2,1
Color-D Textile GmbH,Abakuhaus,83,1
Contra Tischtennis Service,Nittaku,1,1
CoolGadget,CoolGadget,3,1
CoverKingz,CoverKingz,1,1
Crazylifestyle,Westernlifestyle,1,1
Crystal and Sage,Crystal and Sage Jewelry,1,1
DBSW Trading GmbH,MyGadget,2,1
DC Dericompany,dc Dericompany,1,1
DECN Handel UG,DESI-LEB,2,1
DIETEC,GORENJE,1,1
DYT eCommerce,Rosnek,1,1
DaGecko,Winmau,1,1
DaGecko,FoxOutdoor,1,1
DanDiBo,DanDiBo,1,1
